,sentence_id,words,labels
7733,391,Qullqi,I-ORG
13296,1494,Wasi,I-ORG
5301,2380,amachasqa,I-ORG
2533,1839,.,O
10526,950,Pedro,I-LOC
11548,1148,',O
11351,1107,Piluta,B-ORG
1538,1641,",",O
7343,321,Runallaqta,I-LOC
6897,238,Braille,I-PER
766,379,.,O
7206,295,',O
7968,437,'Ochroma,O
12503,1338,mama,I-ORG
13779,1591,Chikla,B-LOC
9105,669,qhapaq,I-LOC
728,290,Piluta,B-ORG
1170,1124,',O
7489,347,),I-LOC
7702,386,Piruw,B-ORG
11472,1133,),I-LOC
7486,347,Yala,I-LOC
12585,1356,',O
11279,1094,Schmidt,I-PER
4504,2223,',O
7171,291,.,O
9615,771,Umalliqmi,O
13573,1548,Polk,I-PER
10502,946,con,O
2295,1787,Odría,I-PER
9852,821,Amarumayu,I-ORG
9535,753,Morales,I-PER
3903,2108,waqar,I-LOC
13758,1586,marka,I-LOC
4840,2290,Pransisku,B-PER
2838,1893,Mishiku,B-LOC
5989,62,Suntur,I-ORG
10310,910,****,O
1376,1545,fajas,O
1601,1652,Waqwa,B-LOC
192,1733,marka,I-LOC
10944,1027,.,O
7319,317,Menuhin,I-PER
2374,1806,Amaru,I-PER
5344,2386,Sapsi,I-ORG
8569,559,Caesar,I-PER
8294,505,'Ochroma,O
70,445,pentandra,O
1710,1670,mama,I-ORG
11888,1217,qhapaq,I-ORG
1830,1693,Pachantin,I-ORG
1034,912,1990,I-ORG
3002,1924,Yana,B-ORG
3534,2036,Bolívarmantam,I-PER
7267,307,Minh,I-LOC
433,2177,Sapsi,I-ORG
9342,715,Joaquín,I-PER
6429,148,K.,I-PER
13144,1464,Kathuliku,I-ORG
5311,2382,Chilipi,B-ORG
12270,1293,Valdelomar,I-PER
9145,675,Kashapampa,B-LOC
5887,41,),I-LOC
7012,260,",",O
10922,1024,",",O
8070,459,',O
2292,1787,',O
11998,1241,.,O
13194,1474,(,O
5068,2333,rikcharimuypim,O
6842,227,makisapa,I-LOC
3605,2050,sutichasqa,O
2448,1821,Amachanapaq,I-ORG
673,190,Rosales,I-ORG
11447,1128,Consejo,O
4473,2216,hirculus,O
758,357,-,O
750,335,Lamarck,I-PER
8456,537,PUSAPUNA,O
9041,655,Alvarado,I-PER
6984,254,García,I-PER
10670,976,Cricetidae,O
3673,2063,",",I-PER
5778,20,.,O
8779,602,Hayt'ay,I-ORG
11209,1080,),O
5880,40,Ludwig,B-PER
9656,781,Luis,B-PER
2689,1864,risirwa,I-ORG
7307,315,parki,I-ORG
4523,2227,',O
6163,96,Wiraqucha,I-PER
3613,2051,',O
11369,1110,Humala,I-PER
7462,342,pusapuna,O
12206,1282,Uchuy,B-LOC
13887,1613,',O
12660,1371,Svante,B-PER
8878,621,.,O
803,446,",",O
5144,2348,),O
13035,1439,',O
450,2221,Pachantin,I-ORG
7735,392,pusapuna,O
13369,1509,Hatun,B-LOC
12663,1371,(,O
612,79,',O
10182,884,Lawqa,B-ORG
12920,1416,',O
13256,1486,PUSAPUNA,O
546,2399,risirwa,I-LOC
11919,1225,.,O
240,1822,',O
12616,1362,suyup,O
936,701,",",O
9473,740,Noel,B-ORG
4074,2140,',O
11232,1084,Tukuy,B-ORG
4479,2217,Buliwya,I-ORG
2039,1735,melanoleucus,O
7619,373,Chilipi,B-ORG
10125,873,Pachantin,I-ORG
8520,549,Qusqu,B-LOC
10067,864,Fritz,B-PER
7963,436,T'uru,B-ORG
5865,37,Allan,B-PER
5440,2404,T'uru,B-ORG
7961,435,),O
445,2210,(,I-LOC
1790,1684,parki,I-LOC
4121,2149,',O
1737,1674,Pérez,I-ORG
9231,692,.,O
671,190,Vicente,B-ORG
6588,176,Chakamarka,B-ORG
4203,2163,pennata,O
11088,1058,Yuraq,B-LOC
1891,1706,--,O
5240,2368,Hayt'ay,I-ORG
4948,2309,Gerd,B-PER
4541,2230,churu,I-LOC
7520,352,willakuykuna,O
1997,1727,.,O
12874,1406,",",O
10934,1026,Wallamanta,I-LOC
12313,1300,',O
7395,330,-,O
10416,927,Jesuspa,I-ORG
446,2210,ariq,I-LOC
7872,419,Hayt'ay,I-ORG
6654,189,Chocano,I-PER
4990,2318,Isiboro,B-ORG
10647,972,Pachantin,I-ORG
2948,1913,Wen,B-PER
9510,748,(,O
2264,1781,Qhapaq,I-PER
11853,1209,Solar,I-PER
477,2288,',O
10064,864,Marie,B-PER
11629,1165,cornuta,O
529,2377,VON,I-PER
4762,2272,Apu,I-PER
8245,497,Inkamach'ay,B-LOC
3381,2003,distritu,I-LOC
9075,662,**,O
11636,1167,Marco,B-PER
10884,1017,la,O
4893,2300,(,O
1265,1312,Moix,I-PER
5746,14,),I-LOC
12679,1374,suyu,I-ORG
665,168,Tantanakuy,I-ORG
4339,2191,Walker,I-PER
7266,307,Chi,I-LOC
9642,777,Hayt'ay,I-ORG
13783,1592,Lombardia,B-LOC
13646,1563,XIII,I-PER
11190,1077,Cruz,I-PER
5314,2382,suyukuna,I-ORG
9299,705,awqaqsuyupis,O
4856,2293,Yuraq,B-LOC
11453,1129,',O
13,1677,llaqtanqa,I-LOC
11661,1173,Piluta,B-ORG
12236,1286,Albert,I-PER
4147,2152,lupus,O
9276,700,',O
8151,476,Loja,B-LOC
10596,963,Kristuwal,I-ORG
11363,1109,suyu,I-LOC
8696,584,llaqta,I-ORG
11358,1108,thilius,O
8246,497,(,I-LOC
9200,685,Gullit,I-PER
1708,1669,parki,I-ORG
3438,2017,.,O
9581,763,Intillama,B-LOC
1906,1708,munisipyu,I-LOC
2775,1881,Hayt'ay,I-ORG
5878,39,',O
13468,1527,GasperiItalya,I-PER
3753,2082,(,O
3017,1926,Montes,I-ORG
13331,1500,Kaylluma,B-LOC
13643,1563,.,O
13498,1532,(,I-ORG
3030,1928,de,I-PER
3326,1993,Qhichwa,B-ORG
3719,2074,Borussia,B-ORG
9534,753,Francisco,B-PER
2655,1861,Telemann,I-PER
8722,588,Suntur,I-ORG
2452,1823,Kupa,I-ORG
13838,1603,llaqta,I-LOC
11265,1092,.,O
3562,2041,Inka,I-PER
9613,771,Alberto,B-PER
5316,2383,',O
5100,2338,Qullqi,I-ORG
13589,1551,Jefferson,I-PER
10497,944,von,I-PER
12798,1394,.,O
8466,539,'Vultur,O
10787,998,',O
4706,2261,pruwinsya,I-LOC
8733,591,",",O
11509,1140,Potosí,I-ORG
11642,1169,Jugador,O
2927,1908,',O
11994,1241,Bobby,B-PER
8327,510,',O
4529,2228,Iya,I-ORG
11546,1148,Ion,B-PER
6694,197,(,I-LOC
7291,313,kusituy,I-ORG
4647,2250,Delgado,I-PER
12406,1318,kutichimunapaq,O
11140,1069,.,O
9184,682,qhapaq,I-ORG
10545,953,(,I-LOC
7898,424,',O
13873,1609,),O
340,1999,de,I-PER
8047,454,Apulupampa,B-ORG
4023,2130,(,I-PER
1099,1023,km,O
10185,884,parki,I-ORG
10753,992,qhapaq,I-ORG
312,1955,tikranaq,O
3748,2081,Kupa,I-ORG
3757,2083,Machalilla,B-ORG
4452,2213,Francisco,I-ORG
7647,377,de,I-PER
51,1,runakunap,I-ORG
9328,711,ñiqin,I-PER
10867,1015,',O
785,412,(,O
10443,932,Potosí,I-ORG
6728,205,sach'a,I-ORG
38,2121,.,O
3991,2125,Èideann,O
6564,171,Charlie,B-PER
13823,1599,',O
5499,2416,),O
12352,1308,m,O
10726,986,K,I-LOC
8749,594,Hayt'ay,I-ORG
284,1900,Cajas,B-LOC
996,834,Wamachuku,B-LOC
13017,1436,runakunap,I-ORG
9073,661,mamallaqta,I-ORG
2132,1754,),I-ORG
7437,339,Telemann,I-PER
2657,1861,Johann,B-PER
12015,1245,.,O
5218,2363,Antonio,B-PER
13365,1508,pruwinsya,I-LOC
5603,2436,'Falco,O
4641,2249,',O
13009,1435,',O
3236,1973,",",O
8732,591,suyu,I-LOC
9520,750,Punta,I-LOC
2399,1812,Yatana,B-ORG
13251,1485,',O
9195,684,m,O
12125,1266,Ronaldinho,B-PER
2687,1864,kawsay,I-ORG
4773,2274,.,O
11592,1158,quya,I-PER
326,1977,San,I-ORG
8641,573,<,O
6679,194,Kupa,I-ORG
7905,425,Rubens,I-PER
1817,1691,Alfredo,B-PER
11184,1076,Cunha,I-PER
12458,1328,',O
12591,1358,',O
2897,1906,Buffon,I-PER
4903,2302,",",O
13891,1614,-,O
916,668,Amarumayu,I-ORG
11060,1051,.,O
3788,2089,',O
9320,710,Mayu,B-LOC
9691,787,Nuevo,B-LOC
8133,473,PUSAPUNA,O
11841,1207,Lampa,I-LOC
11067,1052,',O
7187,293,",",O
1166,1124,',O
11414,1121,Pachantin,I-ORG
12877,1407,Susyalista,B-LOC
13167,1470,Susyalismuman,B-ORG
2778,1881,2014,I-ORG
4879,2296,.,O
4642,2250,María,B-PER
4690,2258,',I-LOC
7722,388,marka,I-LOC
6114,87,Yawyu,B-LOC
13542,1542,Huñu,I-ORG
5161,2352,.,O
10915,1022,Siwar,B-LOC
3223,1971,',O
6567,172,von,I-PER
10631,970,Messi,I-PER
7159,288,',O
13865,1608,hígado,O
10917,1022,'Colibri,O
5732,11,Faustino,I-PER
9981,849,',O
10433,930,.,O
1188,1168,.,O
6956,248,),I-LOC
13045,1441,(,O
11739,1187,",",O
3953,2117,',O
1515,1637,',O
757,357,Müller,I-PER
7229,300,mama,I-ORG
6318,127,Guofeng,I-PER
1707,1669,mamallaqta,I-ORG
6199,104,1954,I-ORG
1338,1457,Mejía,B-LOC
6486,159,Lariqaqa,B-LOC
9130,673,",",O
8714,587,Piruw,B-ORG
9494,743,distritu,I-LOC
11217,1082,José,B-PER
11208,1080,spinosissima,O
4527,2227,.,O
12873,1406,pruwinsya,I-LOC
10856,1013,PUSAPUNA,O
3478,2026,Askanku,B-LOC
9875,825,.,O
13260,1486,parki,I-ORG
7445,339,Händel,I-PER
1054,956,',O
11678,1176,qhapaq,I-ORG
11567,1153,suyu,I-LOC
4476,2217,Susyalismuman,B-ORG
13291,1493,1994,I-ORG
3044,1930,.,O
7369,326,PUSAPUNA,O
10193,886,'Falco,O
10641,971,pruwinsya,I-LOC
7784,400,**,O
6440,151,en,O
7066,271,Jorge,B-PER
2233,1775,(,O
12150,1272,Kevin,B-PER
10581,960,mama,I-ORG
7530,354,risirwa,I-LOC
11464,1132,Hayt'ay,I-ORG
3863,2100,mama,I-ORG
177,1711,Melgar,I-LOC
7341,321,PUSAPUNA,O
6881,234,mama,I-ORG
5379,2393,m,O
9443,735,de,I-PER
4797,2280,Kuka,I-ORG
5402,2398,(,O
6153,94,Stipa,O
7513,352,yachaq,I-ORG
7234,302,",",O
9374,720,panakan,O
13755,1586,',O
5197,2359,',O
180,1722,',O
12905,1414,Rosales,I-ORG
2014,1729,willkachasqa,I-ORG
11366,1110,.,O
11365,1109,.,O
6933,243,(,O
8823,610,Uru,B-LOC
2465,1826,Cipriano,B-PER
10260,898,de,I-PER
2782,1882,Diez,I-PER
12984,1430,',O
11681,1177,Hayt'ay,I-ORG
5810,26,K'illichu,B-LOC
1011,856,',O
9173,681,lagartu,I-LOC
5099,2338,Mamallaqtapura,B-ORG
10861,1014,'Myrmecophaga,O
10025,855,qhapaq,I-ORG
2680,1863,',O
10441,932,San,B-ORG
4657,2252,(,I-LOC
5544,2424,Menéndez,I-PER
5693,3,parki,I-ORG
4826,2286,Qurani,B-LOC
4178,2159,suyu,I-LOC
13013,1435,Martín,I-PER
1132,1078,",",O
9079,662,Kupa,I-ORG
8927,631,",",O
11397,1118,Yupanki,I-PER
9066,660,Oh,B-PER
3362,2001,.,O
6529,165,.,O
4935,2308,[[Wampurushu,O
7301,314,",",O
7581,365,Nieto,I-PER
7226,300,Jorge,I-ORG
11341,1105,Hayt'ay,I-ORG
8862,618,kancha,I-ORG
7797,402,Amirika,B-ORG
9716,793,kaynin,I-ORG
5224,2364,-,O
83,778,qillqasqakunanpi,O
12562,1351,Hayt'ay,I-ORG
2154,1759,1990,I-ORG
1991,1725,),I-LOC
2109,1750,Rumiñawi,B-PER
1892,1706,>,O
3834,2095,Inkisiwi,B-LOC
1994,1726,Pachantin,I-ORG
5691,3,mama,I-ORG
3261,1979,Mamallaqtap,I-ORG
3777,2086,",",O
9634,775,suyukuna,I-ORG
6349,134,Huwan,B-PER
5572,2429,Butros-Ghali,I-PER
2748,1876,van,I-PER
8299,506,>,O
11651,1171,Wila,B-LOC
13214,1477,San,B-LOC
5451,2406,kancha,I-ORG
10617,968,Willkapampa,B-LOC
2079,1743,Magdalena,B-LOC
2392,1810,Sima,B-LOC
8162,478,Walla,I-LOC
9986,850,**,O
13551,1543,XIII,I-PER
131,1622,mamallaqta,I-ORG
4185,2160,",",O
4941,2308,Amboró,B-ORG
1546,1642,Piluta,B-ORG
3173,1959,willakuy,I-PER
7794,400,sechurae,O
1364,1523,Laram,B-ORG
13596,1553,PUSAPUNA,O
5132,2347,José,B-PER
10113,871,Ramón,B-PER
9752,800,gryphus,O
2223,1773,suyupi,I-LOC
741,312,.,O
11688,1178,Totora,I-LOC
7808,404,mamallaqta,I-ORG
13273,1489,Raúl,I-PER
10854,1011,Kupa,I-ORG
10216,892,occipitalis,O
6164,97,Chupasapa,B-LOC
2270,1782,Kupa,I-ORG
12403,1318,",",O
5530,2422,.,O
6912,240,Toribio,B-PER
8849,616,(,O
981,790,Sunturnin,I-ORG
13299,1495,Rapa,B-ORG
7460,341,',O
7886,422,[[Wampurushu,O
6201,105,Henricus,I-PER
40,2232,Walker,I-PER
9756,802,risirwa,I-ORG
13828,1600,Tamayo,I-LOC
3515,2031,1982,I-ORG
648,135,llaqta,I-ORG
10799,1002,von,I-PER
12823,1398,.,O
6401,143,'Nycticorax,O
6979,253,Llaqtakunap,I-ORG
456,2233,(,I-LOC
11667,1174,Juan,I-LOC
13166,1469,llaqta,I-LOC
2684,1863,),O
2917,1907,Intangible,O
2325,1795,Buliwyap,B-LOC
11931,1227,Manuel,B-PER
13727,1580,pruwinsya,I-LOC
13698,1574,.,O
440,2199,Amaru,I-PER
7069,272,Beni,B-LOC
98,1000,suyu,I-LOC
3359,2000,Waytapallana,B-LOC
8787,604,**,O
3734,2078,mamallaqta,I-ORG
13372,1509,'Madera,O
8621,569,Wila,B-LOC
10072,864,va,I-PER
4303,2184,-,I-ORG
9907,832,Kay,O
5904,45,Kathuliku,I-ORG
13532,1540,Belo,B-LOC
1441,1623,Pikchu,I-LOC
2416,1815,llaqta,I-ORG
8530,551,PUSAPUNA,O
889,612,),O
743,323,Trezeguet,I-PER
7138,283,.,O
11306,1099,chilensis,O
3480,2026,(,O
3016,1926,Ismael,B-ORG
5553,2426,Pachantin,I-ORG
3484,2027,.,O
5577,2430,(,I-LOC
12318,1302,Niwiswan,I-LOC
3053,1932,',O
6705,199,occipitalis,O
8808,607,Piluta,B-ORG
12126,1266,',O
12786,1392,Hayt'ay,I-ORG
193,1744,Raphiwaqracha,B-LOC
10227,894,Ollanta,B-PER
3114,1946,llaqta,I-ORG
5204,2361,Mama,B-ORG
4248,2172,D'Achille,I-LOC
9259,697,-,O
8118,469,.,O
4498,2222,Kupa,I-ORG
7264,307,pusapuna,O
13241,1483,PUSAPUNA,O
11385,1116,wawqinmi,O
6282,119,Buliwya,I-ORG
5185,2358,.,O
13679,1570,Ayakuchu,B-LOC
6957,249,PUSAPUNA,O
6840,227,Puka,B-LOC
6674,193,Kupa,I-ORG
9303,706,mama,I-ORG
1654,1661,-,O
3504,2029,Kupa,I-ORG
5203,2361,pusapuna,O
8909,628,suyu,I-LOC
351,2022,',O
1227,1246,/,O
7585,366,',O
9932,838,Alfredo,B-PER
6575,173,Abe,I-PER
10955,1030,Kamasqa,O
5370,2392,Awya,B-ORG
8405,527,(,O
8972,641,Ho,B-LOC
11839,1207,Suyt'uqucha,B-LOC
4654,2252,PUSAPUNA,O
8479,541,.,O
13773,1591,Lima,B-LOC
2901,1907,2001,O
1749,1675,distritu,I-LOC
9095,666,Qusqu,B-LOC
4003,2126,),O
3129,1949,parki,I-ORG
4490,2220,**,O
10189,885,(,O
8345,515,),I-LOC
13771,1589,',O
12513,1340,',O
4192,2161,Pachantin,I-ORG
5549,2425,de,I-PER
2000,1727,',O
13757,1586,Pichincha,B-LOC
10577,960,Sumaku,B-ORG
9868,824,1883-1966,O
2955,1914,Harrison,I-PER
11691,1180,',O
407,2122,kaynin,I-ORG
1040,923,.,O
82,778,chay,O
10891,1017,',O
10584,961,Isiboro,B-ORG
10200,887,Yupankip,I-PER
95,1000,Pampa,I-LOC
12064,1255,",",O
6613,181,',O
12364,1310,2014,I-ORG
4230,2170,.,O
8901,627,suyu,I-ORG
10813,1005,.,O
3594,2048,',O
9997,851,Pasqu,B-LOC
10160,879,.,O
12071,1256,Manuel,I-PER
11940,1229,Agustín,B-PER
4164,2156,suyukuna,I-ORG
584,24,Kupa,I-ORG
9687,786,kawallu,I-LOC
6883,234,parki,I-ORG
687,201,SIL,B-ORG
11487,1136,Forlán,I-PER
13057,1443,'Egretta,O
596,46,Barreda,I-PER
10836,1008,Kumunista,I-ORG
8780,602,Pachantin,I-ORG
13461,1526,Adams,I-PER
8921,630,Noda,I-PER
1659,1661,Dmitri,B-PER
2004,1727,llaqtaqa,O
6890,237,.,O
13615,1558,kawsay,I-ORG
4465,2215,Matthäus,I-PER
8537,552,Huwan,B-PER
2503,1834,.,O
6649,188,Mercado,I-ORG
13051,1442,kitilli,I-LOC
1602,1652,(,O
950,734,",",O
1766,1681,PUSAPUNA,O
409,2133,Awqaq,B-LOC
11656,1171,),O
12275,1294,PUSAPUNA,O
4837,2289,Pachantin,I-ORG
6994,256,Wasin,I-ORG
2201,1769,Hayt'ay,I-ORG
9800,810,",",O
895,623,sp,O
6681,194,.,O
3769,2085,T'uru,B-ORG
9468,739,Yachay,I-ORG
9949,841,de,I-PER
13699,1574,',O
4342,2191,.,O
2250,1779,Sumaku,B-ORG
12382,1315,',O
3611,2051,'Tunga,O
949,734,suyu,I-LOC
249,1833,',O
2069,1741,Covent,O
7329,318,2014,I-ORG
6768,213,Hayt'ay,I-ORG
9964,844,Pachantin,I-ORG
13126,1461,risirwa,I-LOC
8892,625,.,O
4884,2297,.,O
2628,1857,),O
7888,422,wiedii,O
7874,419,Kupa,I-ORG
6687,196,Hayt'ay,I-ORG
13174,1471,5.929,O
5432,2403,",",O
7097,276,',O
139,1644,Henan,B-LOC
12173,1276,Pachantin,I-ORG
3632,2056,Huñu,I-ORG
3600,2050,Kay,O
5934,52,.,O
7855,415,mamallaqta,I-ORG
4240,2171,(,O
13368,1508,distritu,I-LOC
10393,925,",",O
1617,1654,Segundo,I-PER
2379,1807,de,I-PER
4816,2284,Hayt'ay,I-ORG
5704,5,.,O
7430,338,',O
5966,58,1970,I-ORG
7519,352,liwruchasqan,O
13750,1585,de,I-PER
4932,2307,Mawsuliyu,O
7745,393,),O
12635,1365,V,I-PER
7491,348,amachasqa,I-ORG
1127,1078,Borja,I-LOC
12324,1303,),O
3218,1970,Hayt'ay,I-ORG
13015,1435,.,O
11613,1162,),O
10642,971,",",O
5304,2381,Upanu,B-LOC
10767,995,.,O
11905,1221,Hayt'ay,I-ORG
13023,1437,risirwa,I-LOC
5034,2326,Chuka,I-LOC
3267,1980,Kupa,I-ORG
3470,2024,Aberdeen,B-LOC
7836,410,qhapaq,I-ORG
4004,2126,',O
2481,1828,Sousa,I-PER
4295,2182,',O
8828,610,Tarapaka,B-LOC
2695,1865,',O
5417,2402,.,O
1474,1628,kancha,I-ORG
10036,858,),O
6372,138,",",O
5560,2427,',O
5129,2346,suyu,I-ORG
12416,1319,distritu,I-LOC
5055,2329,.,O
10747,991,Cristiano,B-PER
2113,1750,),I-PER
7247,304,willkachasqa,I-ORG
3465,2023,Tumipampa,B-LOC
7714,388,",",O
6519,164,Uma,B-LOC
6190,103,Uma,B-LOC
10199,887,Qhapaq,B-PER
8228,494,Wantar,B-LOC
2645,1860,Wila,B-LOC
11805,1200,Lachay,B-LOC
10473,939,Oxford,B-ORG
1877,1703,Franz,B-LOC
13901,1616,Miguel,B-PER
6615,182,Puna,B-LOC
9306,707,T'uru,B-ORG
11838,1207,PUSAPUNA,O
4293,2182,Griguryu,B-PER
7475,344,Fukuda,I-PER
1963,1719,.,O
3224,1971,Binidiktu,B-PER
4202,2163,'Pterocnemia,O
7610,371,Piluta,B-ORG
8905,628,llaqtapi,O
2873,1902,Víctor,B-PER
4714,2262,),O
8934,632,Kupa,I-ORG
3912,2109,1791-1815,O
8169,480,parki,I-ORG
10509,947,(,O
8924,631,Víctor,B-PER
4994,2319,.,O
9979,848,Kunth,I-PER
6850,228,pruwinsya,I-LOC
4251,2172,risirwa,I-LOC
1000,834,karum,O
405,2122,runakunap,I-ORG
61,223,llaqtam,O
5270,2374,',O
5170,2354,José,B-PER
2963,1915,parki,I-ORG
3763,2084,Apulupampa,B-ORG
2717,1870,mama,I-ORG
11889,1217,kaynin,I-ORG
1930,1714,Kupa,I-ORG
3706,2070,),I-LOC
12140,1270,',O
3249,1976,.,O
9452,737,Wallan,I-LOC
8996,647,suyup,I-ORG
840,512,de,I-PER
11115,1063,willkachasqa,I-ORG
2235,1775,),O
13713,1577,Guanajuato,B-ORG
3871,2102,Kuntur,B-LOC
6620,183,Barack,B-PER
3294,1985,rit'i,I-LOC
11879,1215,rimay,I-ORG
3911,2109,(,O
1078,989,Beethoven,I-PER
3258,1978,1928-1983,O
6012,67,(,I-LOC
1072,989,Wolfgang,B-PER
9020,651,',O
13156,1466,'Saccharum,O
4057,2137,16,O
9262,698,Sama,B-ORG
5377,2393,(,O
4985,2317,kamayuq,I-PER
6001,65,Rosa,I-PER
3571,2043,Wolfgang,I-PER
4796,2280,Kayampi,B-ORG
12569,1352,Kupa,I-ORG
11818,1204,churu,I-LOC
5566,2428,Zaragoza,I-ORG
5857,34,.,O
2289,1786,sutichasqa,O
1620,1654,.,O
1945,1716,.,O
8353,517,',O
7108,277,suyu,I-LOC
13645,1563,Huwan,B-PER
10409,926,',O
2118,1751,Suntur,I-ORG
7115,280,Kuntur,B-LOC
8062,458,Tukuy,B-ORG
9384,722,Pampas,B-LOC
7793,400,Pseudalopex,O
12998,1432,(,O
3993,2126,**,O
7715,388,Impapura,B-LOC
10233,895,5.73,O
10176,882,Wankawillka,I-LOC
5347,2387,',O
6250,114,(,I-ORG
6459,154,=,O
5863,37,.,O
7856,415,parki,I-ORG
4059,2137,pachakwatapi,O
9718,794,distritu,I-LOC
7350,324,Qusqu,B-LOC
6632,185,Asuni,I-LOC
1882,1703,munisipyu,I-LOC
510,2344,sirinka,I-ORG
9486,742,.,O
5087,2336,9-X-1906,O
8492,544,Gianluigi,B-PER
1257,1301,Mozart,B-PER
3546,2038,',O
9185,682,kaynin,I-ORG
6763,211,Höwedes,I-PER
13784,1592,Suwisa,B-LOC
12450,1327,llaqta,I-ORG
8465,539,Kuntur,B-LOC
8056,455,',O
2866,1898,),O
4975,2315,Sívori,I-PER
3715,2073,Tiksi,I-PER
4945,2308,uywam]],O
983,801,Hayt'ay,I-ORG
3066,1936,',O
3524,2034,20,O
9142,675,Kashamarka,B-LOC
12307,1299,20,O
11706,1183,Gervasi,I-LOC
7851,414,Tola,I-LOC
1202,1190,PUSAPUNA,O
5870,38,Pedro,I-LOC
1478,1629,Kupa,I-ORG
580,13,ñiqin,I-PER
1264,1312,Terenci,B-PER
12470,1330,umalliqnin,I-ORG
10905,1020,Mar,I-PER
9255,696,qhapaq,I-ORG
12110,1263,llaqtam,O
12759,1386,',O
3443,2017,1909-1913,O
1396,1579,Omiros,B-PER
5120,2345,Pastilkuna,B-ORG
2648,1860,Sawaya,I-LOC
2101,1748,amachasqa,I-ORG
12684,1375,',O
10133,875,Jorge,B-PER
11712,1184,.,O
3144,1952,.,O
2494,1831,Chawin,I-LOC
7954,433,(,O
11992,1240,Amirika,I-LOC
1342,1468,Hamut'ana,I-ORG
9275,700,Castro,I-PER
7677,382,PUSAPUNA,O
10485,942,warwasku,I-LOC
1272,1323,Lie,I-PER
8772,599,George,B-PER
9266,699,.,O
2810,1887,Wayas,B-LOC
7484,347,PUSAPUNA,O
11361,1109,',O
9478,741,Piluta,B-ORG
6734,206,mama,I-ORG
10337,915,(,I-LOC
10684,979,2002-2003,O
8704,585,con,O
9335,714,Francisco,B-PER
11692,1180,Michael,B-PER
12130,1267,gryphus,O
13787,1593,Ramón,B-PER
1491,1632,Ronald,I-PER
10960,1030,Umalliqmi,O
8590,564,Johnny,B-PER
6756,210,tunqur,I-ORG
6961,249,),I-PER
5752,16,Taypi,B-LOC
5114,2341,.,O
8455,536,.,O
12405,1318,allpankunata,O
8286,504,munisipyu,I-LOC
9601,768,Huñunakuynin,I-ORG
930,690,ñiqin,I-PER
5409,2400,Santo,I-PER
7480,345,Liyun,B-PER
3913,2109,),O
989,812,Ch'iyar,B-LOC
13244,1483,Souza,I-PER
4115,2148,(,O
836,501,.,O
12657,1370,de,I-PER
8252,498,Krameria,O
8577,561,(,O
4782,2276,',O
164,1689,(,I-LOC
1919,1712,Hayt'ay,I-ORG
9953,842,Ledesma,I-PER
1913,1710,Bernardo,B-ORG
5903,45,Puntifisya,I-ORG
5505,2417,",",O
12959,1425,.,O
4406,2203,),I-LOC
11276,1094,.,O
9193,684,(,O
8586,563,Pachuca,B-LOC
138,1633,1998,I-ORG
490,2310,Pedro,B-LOC
2885,1904,Mayukuna,B-LOC
8277,503,Italya,B-LOC
7251,305,",",O
1386,1557,',O
9004,648,),O
1021,878,Bolívar,B-LOC
2078,1743,REDIRECCIÓN,O
12574,1353,Carrión,I-PER
6096,83,Antikuna,B-LOC
13262,1487,Wayna,B-LOC
13844,1604,Kupa,I-ORG
8199,486,',O
26,1899,),O
300,1933,mama,I-ORG
3851,2097,o,O
1704,1669,mayu,I-LOC
4376,2197,dolce,O
6998,258,americana,O
7372,326,urqu,I-ORG
10534,951,Qusqu,I-LOC
359,2033,Hristo,B-PER
1957,1718,.,O
11346,1106,',O
11610,1162,Mineiro,I-ORG
508,2332,1958,I-ORG
5075,2334,tajacu,O
2215,1772,Toribio,B-PER
12372,1313,'Prosopis,O
791,423,GP,B-LOC
12861,1405,llaqtam,I-LOC
2522,1837,Kupa,I-ORG
10154,879,.,O
12573,1353,Alcides,I-PER
2850,1895,Antonio,B-PER
13228,1480,Ransiya,B-LOC
6300,122,Totora,I-LOC
1513,1636,Suntur,I-ORG
6487,159,pruwinsya,I-LOC
11495,1138,PUSAPUNA,O
8351,516,parki,I-ORG
7155,287,Pachantin,I-ORG
6086,81,",",O
1869,1701,Kashamarka,B-LOC
13308,1496,',O
2908,1907,kaynin,I-ORG
8263,500,Manqu,B-PER
8526,550,pruwinsya,I-LOC
6132,91,Chilipi,B-ORG
8325,510,Yasuo,B-PER
13155,1466,(,O
9359,718,',O
12908,1414,parki,I-ORG
1274,1323,.,O
12947,1422,parki,I-ORG
4407,2204,Tunshu,B-LOC
13856,1607,Manuel,B-PER
11421,1122,1958,I-ORG
12519,1341,.,O
993,823,T'uru,B-ORG
4120,2149,Uhu,B-ORG
2924,1908,.,O
12776,1389,-,O
7525,353,llaqta,I-ORG
13671,1566,),O
5647,2446,kantun,I-LOC
7590,367,**,O
6824,222,',O
4808,2282,Qullqa,I-ORG
6232,109,pruwinsya,I-LOC
9123,672,VIII,I-PER
145,1655,carunculatus,O
5081,2335,(,O
2537,1839,',O
10004,851,pruwinsya,I-LOC
578,13,Amaru,I-PER
6252,114,),I-ORG
11755,1191,',O
5602,2436,k'illichu,I-LOC
5777,19,Atlántico,B-ORG
12546,1348,PUSAPUNA,O
127,1556,',O
9465,739,San,I-ORG
2811,1887,marka,I-LOC
11196,1079,'Ochroma,O
6699,198,qucha,I-ORG
6382,139,Pilichuku,B-LOC
